time,health,self-worth,gratitude,generosity,belonging,future,present,past,gratification,focus,independence,motivation,wellbeing,progress,menta
2020-06-03 08:00:00,8.0,8.0,5.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,,7.0,,3.0
2020-06-04 08:00:00,7.5,9.5,7.0,5.0,8.0,10.0,4.0,7.0,3.0,6.0,9.0,,9.0,,7.0
2020-06-04 14:00:00,3.0,8.0,3.0,5.0,4.0,8.0,5.0,6.0,2.0,3.0,7.0,,3.0,,2.0
2020-06-05 09:00:00,2.0,8.0,8.0,5.0,7.0,10.0,5.0,7.0,2.0,5.0,7.0,,5.0,,
2020-06-06 13:00:00,3.0,7.0,7.0,4.0,5.0,7.0,5.0,8.0,3.0,3.0,6.0,,4.0,,3.0
2020-06-07 12:00:00,5.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,3.0,4.0,6.0,,5.0,,4.0
2020-06-08 15:00:00,6.0,8.0,7.0,6.0,7.0,10.0,6.0,8.0,4.0,4.0,8.0,,6.0,,8.0
2020-06-09 09:00:00,1.0,5.0,3.0,5.0,3.0,6.0,2.0,8.0,3.0,2.0,5.0,,2.0,,4.0
2020-06-09 16:00:00,2.0,5.0,6.0,4.0,6.0,7.0,3.0,8.0,7.0,6.0,5.0,,3.0,,5.0
2020-06-10 10:00:00,4.0,7.0,8.0,4.0,3.0,8.5,3.0,8.0,2.0,4.0,5.0,,4.0,,3.0
2020-06-11 11:00:00,5.0,6.5,8.0,7.0,6.0,8.0,6.0,6.0,5.0,4.0,4.0,,5.5,,4.0
2020-06-11 14:00:00,6.0,8.0,7.0,6.0,7.0,9.0,4.0,4.0,7.0,3.0,5.0,5.0,6.0,,
2020-06-12 11:00:00,7.0,8.0,8.0,8.0,7.0,9.0,8.0,4.0,7.0,6.0,5.0,6.0,7.0,,
2020-06-12 14:00:00,3.0,6.0,8.0,2.0,6.0,7.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,,
2020-06-13 11:00:00,7.0,7.0,8.0,7.5,8.0,9.0,6.0,8.0,7.0,5.0,7.0,6.0,7.0,,
2020-06-14 12:00:00,5.0,6.0,6.0,4.0,7.0,8.0,6.0,7.0,5.0,4.0,8.0,3.0,4.0,,
2020-06-15 23:00:00,2.0,8.0,5.0,4.0,7.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,5.0,,
2020-06-16 16:00:00,4.0,6.0,4.0,4.0,6.0,8.0,5.0,7.0,4.0,3.0,6.0,4.0,4.0,,
